PRIMARY_KEY,STATE,YEAR,ENROLL,Total Expenditure,Instruction Expenditure,Support Services Expenditure,Other Expenditure,Capital Outlay Expenditure,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,Math Score Grade 4,Math Score Grade 8,Reading Score Grade 4,Reading Score Grade 8
1992_ALABAMA,ALABAMA,1992,,2653798,1481703,735036,,174053,8224,55460,57948,58025,41167,471564,196386,676174,208.3278759,252.1875224,207.9635172,
1993_ALABAMA,ALABAMA,1993,727716,2833433,1564558,794146,237222,204207,8264,56598,57497,60004,39900,470775,198651,677690,,,,
1994_ALABAMA,ALABAMA,1994,730004,3103266,1697593,826442,306977,231508,9051,57723,56773,59165,41730,468472,201285,678808,,,,
1995_ALABAMA,ALABAMA,1995,727480,3353363,1851700,888983,326956,243365,9324,59739,56486,59914,40981,470246,206840,686410,,,,
1996_ALABAMA,ALABAMA,1996,735912,3572283,1987018,935115,322883,286699,9633,60949,57098,58305,42510,469370,207980,686983,211.6469735,256.5948632,210.9207675,260.2764414
1997_ALABAMA,ALABAMA,1997,737386,3963624,2095904,1075352,323955,420070,9886,58326,57431,58210,44272,472847,208148,690881,,,,
1998_ALABAMA,ALABAMA,1998,739321,4245033,2218693,1155492,357731,458351,10341,58055,58610,57105,43957,473954,205630,689925,,,,
1999_ALABAMA,ALABAMA,1999,737639,4622810,2399626,1208081,441314,515798,10548,56120,60012,56201,42576,472019,202045,684612,,,,
2000_ALABAMA,ALABAMA,2000,730184,5003267,2551713,1319053,395909,663903,10836,55112,59749,56951,42512,472686,201358,684880,217.941053,262.1582055,206.8800295,258.777258
2001_ALABAMA,ALABAMA,2001,728532,5086045,2656393,1374265,426481,540284,11841,54148,58929,56591,42909,469591,201610,683042,,,,
2002_ALABAMA,ALABAMA,2002,726367,5147821,2720735,1414594,418949,496146,9715,55499,58690,57576,45521,467993,206159,683867,,,,
2003_ALABAMA,ALABAMA,2003,727900,5298932,2817111,1521462,424662,432279,1852,56541,57323,59663,42005,466920,205907,674679,223.3446426,261.9390222,207.0838476,261.8708721
2004_ALABAMA,ALABAMA,2004,730418,5450269,2875595,1580654,433522,449619,1994,56964,56182,59286,42672,462799,208383,673176,,,,
